"","Description","pvalue","p.adjust"
"GO:0016024","CDP-diacylglycerol biosynthetic process",8.48805543148666e-06,0.00170938484060552
"GO:0046341","CDP-diacylglycerol metabolic process",8.48805543148666e-06,0.00170938484060552
"GO:0048525","negative regulation of viral process",9.52689765214098e-06,0.00185863818882238
"GO:0002706","regulation of lymphocyte mediated immunity",1.07678180767464e-05,0.00203707540160993
"GO:0031341","regulation of cell killing",1.11846311659623e-05,0.00205369565791478
"GO:0045026","plasma membrane fusion",1.2508566863234e-05,0.00220463695953002
"GO:0032720","negative regulation of tumor necrosis factor production",1.27129473879674e-05,0.00220463695953002
"GO:0051125","regulation of actin nucleation",1.79476800325868e-05,0.0029486149064063
"GO:0046782","regulation of viral transcription",1.75081667572808e-05,0.0029486149064063
"GO:0051926","negative regulation of calcium ion transport",2.14055029259559e-05,0.0034265270453011
"GO:0002820","negative regulation of adaptive immune response",3.06195156672219e-05,0.00477894090776166
"GO:0019883","antigen processing and presentation of endogenous antigen",3.1882746445802e-05,0.00485473136734492
"GO:0019882","antigen processing and presentation",3.84464347842464e-05,0.0057147879132869
"GO:0046638","positive regulation of alpha-beta T cell differentiation",4.25879279125495e-05,0.00618317288274527
"GO:0002483","antigen processing and presentation of endogenous peptide antigen",4.95552255038802e-05,0.00703121074592555
"GO:0001909","leukocyte mediated cytotoxicity",5.36002728948461e-05,0.00743614452627832
"GO:0002699","positive regulation of immune effector process",5.92238776115174e-05,0.00803771017236311
"GO:0032703","negative regulation of interleukin-2 production",6.13696702786014e-05,0.00815172024572997
"GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation",8.65563698450649e-05,0.0108074283388548
"GO:0006891","intra-Golgi vesicle-mediated transport",8.65523658748494e-05,0.0108074283388548
"GO:0002703","regulation of leukocyte mediated immunity",8.51689114752514e-05,0.0108074283388548
"GO:0032926","negative regulation of activin receptor signaling pathway",9.34883734906654e-05,0.011444076778475
"GO:0045622","regulation of T-helper cell differentiation",0.000115887489616946,0.0131542835941563
"GO:0002717","positive regulation of natural killer cell mediated immunity",0.000114181267093599,0.0131542835941563
"GO:0002708","positive regulation of lymphocyte mediated immunity",0.000113370176802477,0.0131542835941563
"GO:0002449","lymphocyte mediated immunity",0.000111114072683766,0.0131542835941563
"GO:0050792","regulation of viral process",0.000119032666996162,0.0132700167867328
"GO:0002697","regulation of immune effector process",0.000130368783663072,0.0140326261449752
"GO:0050867","positive regulation of cell activation",0.000130368783663072,0.0140326261449752
"GO:0000727","double-strand break repair via break-induced replication",0.00013976579174983,0.0147891158965116
"GO:0043372","positive regulation of CD4-positive, alpha-beta T cell differentiation",0.00014631079018938,0.015223637719205
"GO:0001910","regulation of leukocyte mediated cytotoxicity",0.00015530832071387,0.015894915511749
"GO:0002705","positive regulation of leukocyte mediated immunity",0.000162110026722544,0.01632343381982
"GO:0002821","positive regulation of adaptive immune response",0.00019385137511194,0.0186186789972899
"GO:0002286","T cell activation involved in immune response",0.000191584133564206,0.0186186789972899
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0.000191584133564206,0.0186186789972899
"GO:0022409","positive regulation of cell-cell adhesion",0.000202920344224466,0.0191944198332324
"GO:0099116","tRNA 5'-end processing",0.000228451358888876,0.0209738504932831
"GO:0007099","centriole replication",0.000226917079215216,0.0209738504932831
"GO:0051495","positive regulation of cytoskeleton organization",0.000243797767997561,0.0220583980523011
"GO:0034314","Arp2/3 complex-mediated actin nucleation",0.000254948997135589,0.0224423864109856
"GO:1903556","negative regulation of tumor necrosis factor superfamily cytokine production",0.000262287151448738,0.0224423864109856
"GO:0031343","positive regulation of cell killing",0.000262287151448738,0.0224423864109856
"GO:0001919","regulation of receptor recycling",0.000263438453856025,0.0224423864109856
"GO:2000001","regulation of DNA damage checkpoint",0.000269610600804729,0.0224423864109856
"GO:0019080","viral gene expression",0.00026658197117744,0.0224423864109856
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",0.000280173971726344,0.0227450140071968
"GO:2000514","regulation of CD4-positive, alpha-beta T cell activation",0.000280532769270248,0.0227450140071968
"GO:0002443","leukocyte mediated immunity",0.000284809368655593,0.0227957036989342
"GO:2000516","positive regulation of CD4-positive, alpha-beta T cell activation",0.000296291037392615,0.0228363573634827
"GO:0045580","regulation of T cell differentiation",0.000293923077053813,0.0228363573634827
"GO:0045039","protein insertion into mitochondrial inner membrane",0.000293714615284141,0.0228363573634827
"GO:0019884","antigen processing and presentation of exogenous antigen",0.000317978013174816,0.0242089845884192
"GO:0034501","protein localization to kinetochore",0.000330003705285081,0.0245263468106519
"GO:1903083","protein localization to condensed chromosome",0.000330003705285081,0.0245263468106519
"GO:0002711","positive regulation of T cell mediated immunity",0.000335269763101281,0.0246245780122505
"GO:0045814","negative regulation of gene expression, epigenetic",0.000344048562434443,0.0249755252939329
"GO:0042759","long-chain fatty acid biosynthetic process",0.00035651409005888,0.0252922439117907
"GO:0051251","positive regulation of lymphocyte activation",0.000353162300127238,0.0252922439117907
"GO:1903039","positive regulation of leukocyte cell-cell adhesion",0.000362276041084901,0.0254122396010454
"GO:0050777","negative regulation of immune response",0.00040784478718631,0.0282908334044904
"GO:0050870","positive regulation of T cell activation",0.000412401665039535,0.0282925669762837
"GO:0070534","protein K63-linked ubiquitination",0.00043105981059448,0.0292511564950145
"GO:0042537","benzene-containing compound metabolic process",0.000450953672598722,0.0299500401918492
"GO:0002285","lymphocyte activation involved in immune response",0.000448856704998447,0.0299500401918492
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity",0.000458428439695726,0.0301259868317939
"GO:0045048","protein insertion into ER membrane",0.000482778833380946,0.0313957110083046
"GO:0002696","positive regulation of leukocyte activation",0.000490003351736254,0.031537019844221
"GO:0090279","regulation of calcium ion import",0.000521648414850415,0.0332101169366779
"GO:1902105","regulation of leukocyte differentiation",0.000526638086934344,0.0332101169366779
"GO:0006654","phosphatidic acid biosynthetic process",0.000536281510703233,0.0334800547132028
