"","Description","pvalue","p.adjust"
"GO:0030198","extracellular matrix organization",6.14799583768157e-05,0.00903748097079304
"GO:0043062","extracellular structure organization",5.64065449021866e-05,0.00903748097079304
"GO:0045229","external encapsulating structure organization",6.03519176872152e-05,0.00903748097079304
"GO:0050767","regulation of neurogenesis",5.69677994476755e-05,0.00903748097079304
"GO:0010720","positive regulation of cell development",5.19165103225726e-05,0.00903748097079304
"GO:0007409","axonogenesis",5.52840359508435e-05,0.00903748097079304
"GO:0002821","positive regulation of adaptive immune response",7.05043024586755e-05,0.00907904180818885
"GO:0051348","negative regulation of transferase activity",6.82482137019751e-05,0.00907904180818885
"GO:0060047","heart contraction",7.1632347424147e-05,0.00907904180818885
"GO:0001822","kidney development",7.27603927567627e-05,0.00907904180818885
"GO:0043086","negative regulation of catalytic activity",7.05043024586755e-05,0.00907904180818885
"GO:0016049","cell growth",6.59921266447253e-05,0.00907904180818885
"GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",7.50164844571846e-05,0.00917701659859558
"GO:0048880","sensory system development",7.72725774371258e-05,0.00927122328135054
"GO:0045622","regulation of T-helper cell differentiation",8.99506898704567e-05,0.00976824706148857
"GO:0032924","activin receptor signaling pathway",8.97707884907158e-05,0.00976824706148857
"GO:0007416","synapse assembly",8.40408630237045e-05,0.00976824706148857
"GO:0010001","glial cell differentiation",9.0809156846664e-05,0.00976824706148857
"GO:0072001","renal system development",8.96811073833324e-05,0.00976824706148857
"GO:0043010","camera-type eye development",8.8553058107092e-05,0.00976824706148857
"GO:0001667","ameboidal-type cell migration",9.41933062919942e-05,0.00996054301619919
"GO:0001763","morphogenesis of a branching structure",9.8705507789765e-05,0.0102637277183391
"GO:0055078","sodium ion homeostasis",0.00010557928797833,0.0107985111097836
"GO:0050804","modulation of chemical synaptic transmission",0.000107729917251397,0.0108407573182494
"GO:0050673","epithelial cell proliferation",0.000113370176802477,0.0112272465566771
"GO:0015849","organic acid transport",0.00011676544730752,0.0113828066523691
"GO:0010975","regulation of neuron projection development",0.000119032666996162,0.0114253047598316
"GO:0050886","endocrine process",0.000128101558114849,0.011599357080508
"GO:0061326","renal tubule development",0.000139437695309842,0.011599357080508
"GO:0007272","ensheathment of neurons",0.000134903237690998,0.011599357080508
"GO:0008366","axon ensheathment",0.000134903237690998,0.011599357080508
"GO:0048771","tissue remodeling",0.000128101558114849,0.011599357080508
"GO:0001649","osteoblast differentiation",0.000139437695309842,0.011599357080508
"GO:0045936","negative regulation of phosphate metabolic process",0.000137170466073809,0.011599357080508
"GO:0010563","negative regulation of phosphorus metabolic process",0.000137170466073809,0.011599357080508
"GO:0046942","carboxylic acid transport",0.000139437695309842,0.011599357080508
"GO:2001233","regulation of apoptotic signaling pathway",0.000123567110218771,0.011599357080508
"GO:0045664","regulation of neuron differentiation",0.000143972156180359,0.0118189774001218
"GO:0010613","positive regulation of cardiac muscle hypertrophy",0.000149831757551919,0.0119846196841849
"GO:0048754","branching morphogenesis of an epithelial tube",0.000148506620004731,0.0119846196841849
"GO:0003071","renal system process involved in regulation of systemic arterial blood pressure",0.000156800540027585,0.0122284821154013
"GO:0032720","negative regulation of tumor necrosis factor production",0.00015530832071387,0.0122284821154013
"GO:0031400","negative regulation of protein modification process",0.000168911737390617,0.01301037443926
"GO:0007043","cell-cell junction assembly",0.000173446213487218,0.0131967186091068
"GO:0023061","signal release",0.000180247930759117,0.013548998072363
"GO:0060560","developmental growth involved in morphogenesis",0.00018251517062147,0.0135560970179447
"GO:0046782","regulation of viral transcription",0.000188338391116781,0.0138240379079717
"GO:0090288","negative regulation of cellular response to growth factor stimulus",0.000198385859103917,0.0143922020342946
"GO:0007498","mesoderm development",0.000205187587184575,0.014714544326949
"GO:0009914","hormone transport",0.000214256561493138,0.0151785620611381
"GO:0003012","muscle system process",0.000216523805648547,0.0151785620611381
"GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway",0.000225592784374047,0.0156385931301075
"GO:0001916","positive regulation of T cell mediated cytotoxicity",0.000236574810992459,0.0160433722367603
"GO:0050769","positive regulation of neurogenesis",0.0002346841032123,0.0160433722367603
"GO:0010507","negative regulation of autophagy",0.000239240934292754,0.01604972246293
"GO:0051091","positive regulation of DNA-binding transcription factor activity",0.000243797767997561,0.016181428452519
"GO:0046879","hormone secretion",0.000252911442712927,0.0166096262219574
"GO:0001558","regulation of cell growth",0.000257468283464926,0.0167327564639341
"GO:0045589","regulation of regulatory T cell differentiation",0.000273048246224581,0.0173831429407669
"GO:0014743","regulation of muscle hypertrophy",0.000271409956747233,0.0173831429407669
"GO:0015711","organic anion transport",0.000280252516753494,0.0176615702224753
"GO:0048562","embryonic organ morphogenesis",0.000284809368655593,0.0177692565104225
