"","Description","pvalue","p.adjust"
"GO:2001185","regulation of CD8-positive, alpha-beta T cell activation",5.03741736402765e-07,3.45340307066871e-05
"GO:0006383","transcription by RNA polymerase III",5.08346294776533e-07,3.45340307066871e-05
"GO:0007042","lysosomal lumen acidification",5.35057476897707e-07,3.59535361106699e-05
"GO:1904869","regulation of protein localization to Cajal body",5.79764327811317e-07,3.81287561120166e-05
"GO:1904871","positive regulation of protein localization to Cajal body",5.79764327811317e-07,3.81287561120166e-05
"GO:0071985","multivesicular body sorting pathway",7.47160697415573e-07,4.86204992781376e-05
"GO:0009225","nucleotide-sugar metabolic process",8.07526837990509e-07,5.20013636714305e-05
"GO:0002888","positive regulation of myeloid leukocyte mediated immunity",8.27504548383048e-07,5.22003379398368e-05
"GO:0006879","intracellular iron ion homeostasis",8.26534671364736e-07,5.22003379398368e-05
"GO:0032509","endosome transport via multivesicular body sorting pathway",9.2443854417454e-07,5.77260513140101e-05
"GO:0046633","alpha-beta T cell proliferation",9.69449972193499e-07,5.99313972810021e-05
