"","Description","pvalue","p.adjust"
"GO:0009127","purine nucleoside monophosphate biosynthetic process",2.32079330470142e-06,0.000292372593263711
"GO:0016226","iron-sulfur cluster assembly",2.56536134474715e-06,0.000293258807057855
"GO:0031163","metallo-sulfur cluster assembly",2.56536134474715e-06,0.000293258807057855
"GO:1903405","protein localization to nuclear body",2.42943094831549e-06,0.000293258807057855
"GO:1904867","protein localization to Cajal body",2.42943094831549e-06,0.000293258807057855
"GO:0000491","small nucleolar ribonucleoprotein complex assembly",2.51777282927976e-06,0.000293258807057855
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",2.61292193792108e-06,0.000293264856777943
"GO:0071233","cellular response to leucine",2.93003535647118e-06,0.000322984075991011
"GO:1904507","positive regulation of telomere maintenance in response to DNA damage",3.08553606826662e-06,0.000334158142972103
"GO:0007007","inner mitochondrial membrane organization",3.17681196880766e-06,0.00033436477504467
"GO:0000154","rRNA modification",3.19577542971578e-06,0.00033436477504467
"GO:0034471","ncRNA 5'-end processing",3.30757982796196e-06,0.000338405829684785
"GO:0043174","nucleoside salvage",3.34403946391898e-06,0.000338405829684785
"GO:0006490","oligosaccharide-lipid intermediate biosynthetic process",3.81642669921534e-06,0.000368106281472755
"GO:0000054","ribosomal subunit export from nucleus",3.77639359845002e-06,0.000368106281472755
"GO:0033750","ribosome localization",3.77639359845002e-06,0.000368106281472755
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",3.95431117924391e-06,0.000375537890914964
"GO:0015936","coenzyme A metabolic process",4.21663509403456e-06,0.000394383158113262
"GO:0072599","establishment of protein localization to endoplasmic reticulum",4.68381753299799e-06,0.000431540382555173
"GO:0042407","cristae formation",4.96513984286386e-06,0.000450732474264686
"GO:0006479","protein methylation",6.65916245161283e-06,0.000587242997340085
"GO:0008213","protein alkylation",6.65916245161283e-06,0.000587242997340085
"GO:0046037","GMP metabolic process",6.92074903510806e-06,0.00060171526470031
"GO:0032817","regulation of natural killer cell proliferation",7.37944523172568e-06,0.000632684936325592
"GO:0043201","response to leucine",8.14713921555916e-06,0.000688935484625297
"GO:0006896","Golgi to vacuole transport",8.69326730528332e-06,0.000717431682252012
"GO:0045047","protein targeting to ER",8.71656830858593e-06,0.000717431682252012
"GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",9.03640974095758e-06,0.000733970491196463
"GO:0009225","nucleotide-sugar metabolic process",9.18772174433877e-06,0.000736568913348093
"GO:0032042","mitochondrial DNA metabolic process",9.80800479945372e-06,0.00077621555932087
"GO:0002863","positive regulation of inflammatory response to antigenic stimulus",1.01310494117108e-05,0.000791632506563176
"GO:0006488","dolichol-linked oligosaccharide biosynthetic process",1.16900360100162e-05,0.000901564774289348
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",1.18300253875648e-05,0.000901564774289348
"GO:0006517","protein deglycosylation",1.2325074839427e-05,0.000927837646143693
"GO:0006901","vesicle coating",1.34846732547651e-05,0.0010029022650803
"GO:0090309","positive regulation of DNA methylation-dependent heterochromatin formation",1.39996789777951e-05,0.00100488393406894
"GO:0070203","regulation of establishment of protein localization to telomere",1.39996789777951e-05,0.00100488393406894
"GO:0006356","regulation of transcription by RNA polymerase I",1.37815826165081e-05,0.00100488393406894
"GO:0033617","mitochondrial cytochrome c oxidase assembly",1.48548400187182e-05,0.0010540106601787
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process",1.76003532255473e-05,0.00123462477796936
"GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib",1.96080020105833e-05,0.00134489107123701
"GO:0002484","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway",1.96080020105833e-05,0.00134489107123701
"GO:1901659","glycosyl compound biosynthetic process",2.0687515284561e-05,0.00140334100935819
"GO:0006515","protein quality control for misfolded or incompletely synthesized proteins",2.16436776152001e-05,0.00145224371650685
"GO:0000963","mitochondrial RNA processing",2.20069798908365e-05,0.00146074286952832
"GO:0009126","purine nucleoside monophosphate metabolic process",2.35500610516961e-05,0.00153843256551864
"GO:1904262","negative regulation of TORC1 signaling",2.36758616109299e-05,0.00153843256551864
"GO:0031167","rRNA methylation",2.5694623476762e-05,0.00165221782002137
"GO:0019348","dolichol metabolic process",2.60608465261153e-05,0.00165849077944031
"GO:1904869","regulation of protein localization to Cajal body",2.68870851382109e-05,0.00167650481371895
"GO:1904871","positive regulation of protein localization to Cajal body",2.68870851382109e-05,0.00167650481371895
"GO:1905146","lysosomal protein catabolic process",2.82317017542268e-05,0.00171498874108747
